,text,created_at,author_id,id
0,"@RadioCanadaInfo Go go go on spin ça à fond!! 1-2-3 bientôt 4 doses! Pis si on spin pas les vaccins on spin les masques. Ça me fait penser, qu’est-ce qui se passe dont avec les réfugiés de l’Ukraine? Ils vont avoir le droit de voter pour Macron ou pas? Ça spin moins fort ces jours ci non?",2022-04-03T21:28:25.000Z,1483973972186308610,1510730966238736386
1,"RT @vaccinisgenocid: Al liggen de bewijzen er en worden de schapen elke dag weer genaaid door hun regering, toch blijven ze in hun regering…",2022-04-03T21:28:18.000Z,198965008,1510730939818721296
2,"@FrancvanHelden @MinPres ""genocide misdaden"" en ""experimentele gentherapiespuit"" 🤡

Man, dat je geen idee hebt van virussen en vaccins, is geen probleem hoor.

Maar laat dit soort bullsh#t dan gewoon achterwege.

Je zet jezelf nogal voor lul.",2022-04-03T21:28:09.000Z,1473248176022953985,1510730902443368448
3,"RT @GAUTHIERdeKERAN: @Clemence_Guette @JLMelenchon @melenchon_2022 Ils voulaient sortir de l'Europe, ils voulaient que la France quitte l'O…",2022-04-03T21:28:02.000Z,714317514,1510730873062277128
4,"RT @Chedon18: Ils voulaient sortir de l'Europe, ils voulaient que la France quitte l'OTAN et se place sous le joug de Poutine, ils voulaien…",2022-04-03T21:27:55.000Z,18737585,1510730844046045186
5,@MamanPirate @StefJam3 @sutur_7 @zonaclaire999 @verity_france 0 décès a ce jour liés aux vaccins. C’est clairement écrit dans les rapports de l’ansm.,2022-04-03T21:27:32.000Z,39839423,1510730744569679885
6,"RT @catherine_avice: Benoît Och #Internationalcovidsummit : ""au Luxembourg on a la chance d'avoir les données sur les EI des vaccins: il y…",2022-04-03T21:27:30.000Z,1213252698360840192,1510730736659226628
7,"RT @1dags_Vlinder: @danvandertuin Lareb is betrokken geweest bij het promoten van de vaccins?
Hetzelfde Lareb dat de bijwerkingen verzamelt…",2022-04-03T21:27:22.000Z,1319741809086636032,1510730705596211208
8,"RT @viorelionel39: @verity_france Le #PassVaccinalDeLaHonte et l'obligation vaccinale pour les soignants, les gendarmes et les pompiers, av…",2022-04-03T21:27:21.000Z,1487069017324019719,1510730699459944453
9,"Ils peuvent dire ce qu'ils veulent, seuls les faits comptent ! Les Vaccins mis à part être dangereux et provoquer des morts, ne servent à rien ! Ils ne peuvent avoir aucun argument. C'est donc un Mensonge d'Etat avec la complicité des Médias. https://t.co/CnfxkJUhT6",2022-04-03T21:27:10.000Z,2808454606,1510730655642042368
10,[Gérard Delépine] Les « vaccins » augmentent-ils le risque de contamination et de mort par Covid19 ? Confirmation un an plus tard https://t.co/bfKOGxobE0,2022-04-03T21:27:07.000Z,1119666311708205056,1510730639363825664
11,RT @france_soir: 📰 Une enquête internationale révèle qu’au moins 240 millions de doses de vaccins contre le Covid-19 ont été jetées en rais…,2022-04-03T21:26:57.000Z,2186669063,1510730597274202113
12,@Nowiga3 @anne_loush @Marc_Doyer @loulou2745 @verity_france Oui et un Chinois du pérou de 104 ans est décédé du covid après 17 vaccins. Un Homme de biribi les castagnettes de 64 ans décédées après 59 vaccinations par erreur. Mon père décédé en 2016 du vaccin moderna. Tu veux d'autres témoignage ? j'en ai plein la valise.,2022-04-03T21:26:55.000Z,1504053249447538689,1510730592274497556
13,RT @Annette_LEXA: @BallestarJordi @laprovence C'est légitime de se poser la question de l'impact d'une antenne 5G sur les cellules du corps…,2022-04-03T21:26:48.000Z,1417848702631387142,1510730560586592256
14,"@spiritje78 ""experimentele vaccins""...

Met die onzin-claim ben je al af.

En de rest van je tweet is ook gewoon bullsh#t.",2022-04-03T21:26:32.000Z,1473248176022953985,1510730492441681929
15,"RT @GabinJean3: 1/2 Vaccins covid et santé cardiaque: ""Cette étude révèle un effet néfaste sans précédent des vaccins COVID-19 sur la fibri…",2022-04-03T21:26:11.000Z,1428009494496358406,1510730406886539266
16,"RT @_2019_nCoV: 🇳🇬Le Nigeria montre comment administrer plus d'un million de vaccins ; ces gens ne sont pas stupides.
#AbrogationPassVaccin…",2022-04-03T21:25:59.000Z,1471200240027979786,1510730354809839617
17,"RT @ChrisCottonStat: Angleterre-Recrudescence des réinfections cause variant BA.2, baisse de l'immunité et assouplissement des mesures barr…",2022-04-03T21:25:48.000Z,1164635086249254914,1510730309557682176
18,"@AMarieDussault J'ai travaillé sur les statistiques françaises officielles au sujet des vaccins contre le Covid :
https://t.co/tneAusF359",2022-04-03T21:25:41.000Z,1022791577830338560,1510730281036263431
19,"Que c'est étrange... Ça fait deux fois que l'OMS pénalise des entreprises produisant des vaccins moins connus que ceux qui sont largement utilisés, ici notamment. Veut-elle préserver les parts de marché de certaines entreprises en particulier? On peut poser la question https://t.co/d1KflkyNlM",2022-04-03T21:25:40.000Z,1131717785648807937,1510730276976365568
20,"RT @viorelionel39: @verity_france Le #PassVaccinalDeLaHonte et l'obligation vaccinale pour les soignants, les gendarmes et les pompiers, av…",2022-04-03T21:25:31.000Z,1463935612352974848,1510730238229106695
21,"RT @PhilippeMurer: Se poser des questions sur le #Mackinseygate c’est complotiste,
▶️Sur les vaccins, complotiste,
▶️Sur les sanctions écon…",2022-04-03T21:25:31.000Z,1483533540482498565,1510730237440675843
22,"RT @ChrisCottonStat: Angleterre-Recrudescence des réinfections cause variant BA.2, baisse de l'immunité et assouplissement des mesures barr…",2022-04-03T21:24:58.000Z,1508452645958303746,1510730098395201543
23,"@GradotM @lesamisdelabbe1 Et le chômage partiel quoi qu’il en coûte ? Beaucoup de français on énormément apprécié d’être protégé pendant la pandémie, puis de bénéficier très rapidement des vaccins.",2022-04-03T21:24:46.000Z,797481860880334849,1510730050416566282
24,"@verity_france Le #PassVaccinalDeLaHonte et l'obligation vaccinale pour les soignants, les gendarmes et les pompiers, avec des #vaccins expérimentaux ont été des mesures cruelles, de vraies #CrimesContreLHumanité.",2022-04-03T21:24:30.000Z,744531726966394880,1510729982972248066
25,"@veritebeaute Vaccin + fuite capillaire = prise de poids
https://t.co/pSizSDOMyr",2022-04-03T21:24:16.000Z,1359861412974260228,1510729923740241924
26,#ZoneInterdite les moutons qui se gavent de fakes news sur BFM-TV et qui font piquer avec un faux vaccins.,2022-04-03T21:24:07.000Z,2306369394,1510729884867440642
