,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,augustin barbeaux,@barbeauroch5,2022-01-01T21:34:54.000Z,"augustin barbeaux
@barbeauroch5
·
1 Jan","#vaccins #DictatureSanitaire #DictatureEnMarche #genocide 
Député roumain au Parlement européen expose le contrat secret avec Big Pharma.
""Quand le gouvernement sait tout sur vous, c'est la tyrannie, quand vous savez tout sur le gouvernement, c'est la démocratie.""
2",,,,2,['https://pbs.twimg.com/ext_tw_video_thumb/1477392622595584005/pu/img/W7jL8mJjCR4B2ICg.jpg'],https://twitter.com/barbeauroch5/status/1477392915626348545
1,Bayembi_borny,@BayembiBorny,2022-01-01T02:51:27.000Z,"Bayembi_borny
@BayembiBorny
·
1 Jan","ère bonne résolution de cette nouvelle année... 
Démonstration faite par Dr Helene Rossinot

#vaccins #Masque #gestesbarrieres #distanciationsociale",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1477110131754258435/pu/img/TBqPXolJ5VYoIjjg.jpg'],https://twitter.com/BayembiBorny/status/1477110188930908162
2,Merry Socialist,@Socialistesque,2022-01-01T22:44:14.000Z,"Merry Socialist
@Socialistesque
·
1 Jan","Je pense que ⁦
@NetflixFR
⁩ et #CobraKai ont raison- (#Macron et #Véran) pensent tellement que leur moyen est le seul qui fonctionne (#VaccinObligatoire) - mais il faut faire plutôt qqch qui marche (ce n’est pas ces #Vaccins).

#NonAuPasseVaccinal
3",🌹 🌹 🐭,3,,,['https://pbs.twimg.com/ext_tw_video_thumb/1477410321325334528/pu/img/26i-gb2tAv2GCZb0.jpg'],https://twitter.com/Socialistesque/status/1477410363087986690
3,incesticide,@apolitique2022,2022-01-01T09:12:29.000Z,"incesticide
@apolitique2022
·
1 Jan","#voeuxmacron fake fake fake news!Sans l’Europe nous n’aurions pas de #vaccins #covid19 NON mon bon roi d’ #europe sans #trump et sans #johnson qui est sorti de l’Europe Mr le menteur professionnel nous n’aurions pas de vaccin #omicron #voeux2022 #presidentielle2022 #cnews et OUI!
0:04
14 views
1",,,1,,[],https://twitter.com/apolitique2022/status/1477206082418270213
4,Arkhos94 #vaccin,@arkhos94,2022-01-01T19:50:17.000Z,"Arkhos94 #vaccin
@arkhos94
·
1 Jan","Un petit cadeau pour tout ceux qui croient les #vaccins #Pfizer, #moderna... expérimentaux : la réponse du conseil d'état (juridiction suprême administrative) sur la question

Source : https://legifrance.gouv.fr/ceta/id/CETATE
2
2
2",💉 💉 💉,2,2,2,['https://pbs.twimg.com/media/FICpEzWXIAkUD0j?format=png&name=medium'],https://twitter.com/arkhos94/status/1477366588068225031
5,nath_35,@nath_35,2022-01-01T13:31:32.000Z,"nath_35
@nath_35
·
1 Jan","#Annee2022 année procès #gouvernementFR #Macron #veran #Castex #Blanquer médecins de plateaux TV et dans les hôpitaux, généralistes qui auront cédés aux mensonges D'État sur #crise #vaccins Pour #CrimesAgainstHumanity
GIF
ALT
1
2",,1,2,,['https://pbs.twimg.com/tweet_video_thumb/FIBSY8FXwAAIl65.jpg'],https://twitter.com/nath_35/status/1477271274061762561
6,Celestino,@ycelesti,2022-01-01T20:56:38.000Z,"Celestino
@ycelesti
·
1 Jan","Audition au Sénat de #RatignierCarbonneil, directrice de l'#ANSM. À la mi-novembre 2021, nous comptabilisons 110000 effets indésirables pour 4 #vaccins. D'habitude, nous avons 45000 déclarations/an pour les 5000 médicaments vendus en France ! Bonne chance les rats de laboratoire.
LeLibrePenseur
@LLP_Le_Vrai
 · 1 Jan
Audition au Sénat de #RatignierCarbonneil, directrice de l'#ANSM. À la mi-novembre 2021, nous comptabilisons 110000 effets indésirables pour 4 #vaccins. D'habitude, nous avons 45000 déclarations/an pour les 5000 médicaments vendus en France ! Bonne chance les rats de laboratoire.
6
6",,,6,6,"['https://pbs.twimg.com/profile_images/1495380740908929025/7UdoHclf_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1477377188425043975/pu/img/T_Kt_hUISVw1fzJe.jpg']",https://twitter.com/ycelesti/status/1477383286347472906
7,"Fi, donc ! φφ",@TashiLa15,2022-01-01T18:40:49.000Z,"Fi, donc ! φφ
@TashiLa15
·
1 Jan","Replying to 
@wargonm
Et quelle serait, d'après vous, cette supposée attitude sur les #vaccins ? 
Vous êtes quand même à 2 doigts de nous dire que si votre femme est malade c'est à cause de #Melenchon.

Inénarrables macronistes.
2
6",🔻 🐝 🐝 🔻 😂 😂 😂,,2,6,['https://pbs.twimg.com/media/FICZLxDX0AIRG-1?format=jpg&name=small'],https://twitter.com/TashiLa15/status/1477349107261968398
8,Merry Socialist,@Socialistesque,2022-01-01T15:46:05.000Z,"Merry Socialist
@Socialistesque
·
1 Jan","Pour ceux qui détestent les #NonVaccinés, qui disent que le #PasseVaccinal est une bonne idée, vous pensez que ces #Vaccins sont sans risque?!  À chaque fois vous prenez une dose vous vous exposez à un risque potentiel. Pourquoi? 

#NonAuPassVaccinal 
Randy (,) 5664
@randy808
 · 29 Dec 2021
The latest VAERS data has been published (vaccine injuries) #COVID19 #JoeRogan 

983,756 Adverse Events
108,572 Hospitalizations
107,860 Urgent Care
12,317 Bell's Palsy
10,429 Heart Attacks
20,560 Myocarditis
34,615 Permanently Disabled
20,622 Deaths

100% Safe And Effective 
2
1
4",🌹 🌹 🐭 😢 🐝 🐝 😏,2,1,4,"['https://pbs.twimg.com/profile_images/1221891646771449856/a5SYKEiz_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1476192027121438731/pu/img/12-3BfT7YP2tRV8h.jpg']",https://twitter.com/Socialistesque/status/1477305134334062596
9,Françoise Zannier,@psy_paris,2022-01-01T15:48:10.000Z,"Françoise Zannier
@psy_paris
·
1 Jan","#COVID19> #corruption> Les arguments favorables aux ""#vaccins"" expérimentaux s'effondrent les uns après les autres...
FranceSoir
@france_soir
 · 1 Jan
 BEST OF - ""L'idée que le vaccin protège des formes graves, doit être rejetée"", Dr Michel de Lorgeril, expert international en cardiologie et nutrition affirmait ""les études sur l'efficacité des vaccins sont des simulacres de sciences""
http://francesoir.fr/node/258862
4
3",🎙 👇,,4,3,"['https://pbs.twimg.com/profile_images/1488123565237051403/GTecJJi5_mini.png', 'https://pbs.twimg.com/media/FHocHI6XIAgmRq1.jpg']",https://twitter.com/psy_paris/status/1477305656994676737
