Author,Description
Allez Les Lions," Les joueurs et membres du staff de Coton Sport de Garoua ont réservé une haie d'honneur à Patient Wassou après l’annonce de sa première convocation à l’équipe nationale du Cameroun. 
[
 Instants Sports]",6 j,90 commentaires
 , 
Pierre Patientscifo Kountz Ndoumbe,"Tout le reste qu,il soit à la hauteur car au bon vieux temps un amateur qu,on appelait en sélection de cette manière faisait tjrs honneur au peuple à notre championnat même si aujourd'hui notre championnat n, est plus digne...."
 , 
Cathy De Bouna,"Ce n'est que le début, j'exhorte les footballeurs en service à l'elite one et two à plus d'ardeur, la Providence divine vous récompensera"
 , 
Du Vaal Kaguya,"Honneur ou pas on verra ses performances au stade, jouer contre mahrez ce n'est pas la même chose que jouer contre Colomb du dja ,vivement qu'il prouve ,mais je sais une chose c'est que le championnat Camerounais actuellement a un niveau trop bas."
 , 
Steve Tedem,"Félicitations
mon frère"
 , 
Vct Bevolo,"Purs politique
que coton sport refuse encore de jouer la championnat on voir"
 , 
Moise Joris Ehidi,Ils vont maintenant joué le championnat j'espère.
 , 
Fritz Brown Dela Hoya,Weeeeeeehhhhh la solidarité
 , 
Gilbert Ndokayo,bravoo champion
 , 
Nicolaz Ouncap,Très bon geste pour les d'encadrer de coton sport de Garoua
 , 
Bertrand Djoumessi,"Félicitations
! c'est mérité !!"
 , 
Lambert Rostandlambert,Bravooôoo à vous....
 , 
Christian Julio Ekevindi,"Bravo
à lui et qu'il continue à bosser très dure"
 , 
Gottes Geschenk AP,bravos a lui
 , 
Lē Pølønåĩs Nøīr,Ce bien mon jouér le meilleur reste à venir
 , 
Lebongo Lebongo,Courage mon frère
 , 
Ditouamo Barnabas Barna,Bravooo à lui
 , 
Robberto Baggio,Nice gesture
 , 
Arafat Abdel César,Bonne chance frère...
 , 
Maestro Oklm,La ils ne disent plus que oooh le président de la fédé n'aime pas les nordistes!? La tout le monde est content et personne d'autres ne se plein ils croient qu'il n'y a pas les joueurs de 17ans dans d'autres clubs ? Mais on as pas choisi le nord pour jo… Voir plus
 , 
Stykeur Shineider,J’espère que tu ne dois pas nous décevoir comme Cedric djeugoue et bouba gopnack..... beaucoup de courage à toi et toute mes félicitations
 , 
Germain Kenne,Ahh oui .faites le de toutes votre cœur..... aujourd'hui c'est lui demain ça serait une autre personne...... Soyez bénis
 , 
Fidèle Tassou,"Bonne chance à lui, et surtout beaucoup de courage et pas de panique !!!"
 , 
Arnauld Nchetk,C'est important et c'est un encouragement pour lui.
 , 
Denis Deniska Dekode,Coton a toujours formé des grands joueurs
 , 
Afrika IzBack,Beau geste..
 , 
Foka Ramses Jr.,L'ENAM Indomptables du Cameroun
 , 
Dimitri Djob,Beaucoup de courage mon petit.
 , 
Paul Gadji,Bon vent mon petit
 , 
Emmanuel Fonyuy,"congratulations
petite"
 , 
Innocent Don Kouloua,Bon vent à toi pakamé!
 , 
Yaye Pitdap,"J'ai longtemps observé les publications de cette page , et participé de temps à autre aux débats, mais franchement je tiens à vous demander pour le bien de tous d'éviter la stropodence du spidateur car le gerbignole persatique est trop paratonisé."
 , 
Chåpēäū Nõïr Ęn Cõūlėûr,Courage mon frère
 , 
Mohamadou Younoussa,Magnifique
 , 
Nestor Cool-man,Wahouu superbe
 , 
Habib Nkōlō Toure,Ils vont maintenant accepter de jouer ? C’est la question fondamentale
 , 
Hugues Parfait Nkurunziza,Bien
 , 
Alfred Detchou,Oliver Ralph Sorock patient génie
 , 
Assiang Le Grand Baudouin,Nous devons aller au Qatar point.le reste c'est pour toi.
 , 
Ëlîzë Göüdäm,C'est ça un grand club
 , 
Nwaaroh Le Mutant,Un moundang avec du talent
 , 
Ruth Eko,Bravo
 , 
