,name,content,time,comments
0,Brut,"Faut-il faire vacciner ses enfants ? Aura-t-on besoin d'un rappel de vaccin, et si oui, quand ?",21 juillet 2021,"2,8 K commentaires"
1,Préfet de Seine-et-Marne,#COVID19 | Toutes les informations sur la #vaccination A quel type de vaccin suis-je éligible ? Combien de doses dois-je recevoir ? Suis-je éligible à la dose de rappel ? Quel délai respecter entre ma dernière injection et la dose de rappel ? Où prendre rendez-vous ?...Le simulateur d’éligibilité à la vaccination vous renseigne selon votre profil ,4 j,22 commentaires
2,Français Ensemble dans le Club de Pattaya,"RUSSIE - Alexandre Adler, journaliste et historien, perçoit dans la guerre russo-ukrainienne une tentative désespérée de Vladimir Poutine de rester au pouvoir. Ce spécialiste du monde russe, qui s’enorgueillit d’amitiés parmi les plus hautes sphères du pouvoir, affirme que les rumeurs lancées il y a quelques semaines concernant la maladie de Parkinson de Vladimir Poutine seraient avérées : «Des hackeurs russes, américains et israéliens ont affirmé que cette information proven… Voir plus",5 h,11 commentaires
3,Nicole Mery," Pour apprendre à repérer les fakenews (fausses informations qui circulent en ligne), voici 5 sites web dédiés au fact-cheking  - ou vérification des informations - à consulter en famille !",10 h,21 partages
4,Edgard Minasto Officiel.,La vraie raison de l’implication de Macron dans le conflit Russie  Ukraine  est simplement de protégé les intérêts de la France  ( Afrique)  . Poutine gagne de la cote en Afrique sachant ici que l’Afrique est là Colonne vertébrale de la France   donc sans l’Afrique la France est perdu .,3 h,15 commentaires
5,Wasaya80,"Le Parlement ukrainien a annoncé avoir adopté une loi sur la nationalisation des biens appartenant aux Russes et à tous ceux qui soutiennent publiquement l'intervention militaire russe en Ukraine, quelle que soit leur nationalité.",3 h,4 commentaires
6,FRANCE 24,"Alors que Vladimir Poutine a annoncé jeudi que le gaz russe devrait désormais être payé en roubles, l'Union européenne, premier client de Moscou, lui a opposé un refus catégorique et affirmé envisager d'autres scénarios pour son approvisionnement. France 24 décrypte avec Francis Perrin, spécialiste des questions énergétiques à l'Iris, cette nouvelle étape du bras de fer autour de la guerre en Ukraine.",5 h,"1,3 K commentaires"
8,Aliou.gary,"En Serbie, la guerre en Ukraine bouleverse les élections générales ,Les Serbes sont appelés aux urnes dimanche pour des élections présidentielle, législatives et municipales partielles. Dans un pays où la transparence du scrutin a été mise en cause par le passé, la guerre en Ukraine est venue bouleverser les pronostics, alors que les Serbes sont divisés entre pro-Russie et pro-UE.",53 min,6 commentaires
9,Pretre SN Animation,Guerre en Ukraine              ,5 h,48 commentaires
10,Acropol Info,Le directeur du renseignement militaire français limogé,2 j,31 commentaires
11,Media info afrique,France  |  Les causes du limogeage d'Éric Vidaut.,2 h,4 commentaires
